TP;NG;TC;TM;IG;SOMA_GANHO;MEDIA_PRIORIDADE;GANHO_MEDIO_FORMULA
50;200;0.8;0;0;2605;130.25;13025
100;100;0.5;0;0.7;2605;130.25;13025
100;100;0.8;0;0.1;2605;130.25;13025
100;200;0.2;0;0;2605;130.25;13025
10;50;0.8;0.2;0.7;2604;130.2;13020
50;10;0.2;0.2;0;2604;130.2;13020
50;50;0.5;0.8;0.1;2604;130.2;13020
50;50;0.8;0.8;0.1;2604;130.2;13020
50;100;0.8;0;0.1;2604;130.2;13020
100;10;0.8;0;0.7;2603;130.15;13015
100;50;0.8;0;0.7;2603;130.15;13015
50;50;0.2;0.8;0;2602;130.1;13010
100;10;0.2;0.8;0;2602;130.1;13010
100;10;0.8;0;0.1;2602;130.1;13010
100;100;0.2;0.8;0.7;2602;130.1;13010
100;200;0.8;0;0.7;2602;130.1;13010
10;200;0.8;0.8;0;2601;130.05;13005
50;100;0.8;0;0;2601;130.05;13005
100;10;0.5;0;0.1;2601;130.05;13005
10;50;0.2;0.2;0.7;2599;129.95;12995
50;50;0.8;0.8;0;2599;129.95;12995
50;100;0.5;0;0;2599;129.95;12995
50;100;0.8;0;0.7;2599;129.95;12995
10;100;0.8;0.8;0;2597;129.85;12985
50;10;0.8;0;0;2597;129.85;12985
50;200;0.8;0.8;0.7;2597;129.85;12985
100;50;0.5;0;0.7;2597;129.85;12985
100;200;0.5;0.8;0.7;2597;129.85;12985
100;200;0.8;0.8;0.7;2597;129.85;12985
50;10;0.5;0;0;2596;129.8;12980
50;10;0.8;0;0.1;2596;129.8;12980
100;10;0.5;0.8;0.1;2596;129.8;12980
100;100;0.2;0;0.1;2595;129.75;12975
10;200;0.5;0.8;0;2594;129.7;12970
50;10;0.5;0.2;0.7;2594;129.7;12970
50;200;0.5;0;0.7;2594;129.7;12970
100;10;0.5;0.8;0;2594;129.7;12970
100;10;0.2;0.8;0.1;2593;129.65;12965
100;50;0.2;0;0.1;2593;129.65;12965
100;10;0.5;0;0.7;2592;129.6;12960
100;50;0.5;0;0.1;2590;129.5;12950
50;50;0.8;0;0.7;2589;129.45;12945
100;10;0.2;0;0;2589;129.45;12945
100;10;0.2;0;0.1;2588;129.4;12940
100;10;0.8;0.8;0.1;2588;129.4;12940
50;50;0.5;0;0.1;2587;129.35;12935
100;100;0.8;0.8;0.7;2587;129.35;12935
10;100;0.2;0.8;0.1;2586;129.3;12930
50;200;0.5;0;0;2586;129.3;12930
10;100;0.2;0.8;0;2585;129.25;12925
50;10;0.2;0.2;0.7;2585;129.25;12925
50;200;0.8;0;0.1;2584;129.2;12920
10;100;0.5;0.8;0;2583;129.15;12915
10;100;0.8;0.8;0.1;2583;129.15;12915
50;10;0.8;0.2;0.7;2583;129.15;12915
50;50;0.5;0;0;2583;129.15;12915
100;200;0.2;0;0.1;2583;129.15;12915
50;50;0.5;0;0.7;2582;129.1;12910
100;100;0.5;0.8;0.7;2582;129.1;12910
50;200;0.2;0.8;0.7;2581;129.05;12905
10;50;0.2;0.8;0;2580;129;12900
50;100;0.5;0;0.1;2579;128.95;12895
10;100;0.5;0.8;0.1;2577;128.85;12885
50;200;0.8;0;0.7;2577;128.85;12885
100;10;0.8;0.8;0;2577;128.85;12885
50;10;0.5;0;0.1;2576;128.8;12880
100;200;0.2;0;0.7;2576;128.8;12880
100;50;0.8;0.8;0.7;2575;128.75;12875
10;10;0.5;0.2;0.1;2573;128.65;12865
50;10;0.8;0.8;0;2573;128.65;12865
50;100;0.2;0.8;0.7;2573;128.65;12865
100;100;0.2;0;0.7;2573;128.65;12865
10;50;0.5;0.8;0;2572;128.6;12860
50;50;0.2;0;0;2571;128.55;12855
50;200;0.5;0;0.1;2571;128.55;12855
50;10;0.8;0;0.7;2570;128.5;12850
50;100;0.5;0;0.7;2570;128.5;12850
50;100;0.8;0.8;0.7;2570;128.5;12850
50;200;0.5;0.8;0.7;2570;128.5;12850
100;10;0.2;0;0.7;2570;128.5;12850
100;50;0.2;0;0.7;2570;128.5;12850
100;50;0.5;0.8;0.7;2570;128.5;12850
10;50;0.5;0.8;0.1;2568;128.4;12840
100;50;0.2;0.8;0.7;2568;128.4;12840
10;50;0.8;0.8;0.1;2567;128.35;12835
50;100;0.2;0;0;2565;128.25;12825
50;100;0.5;0.8;0.7;2564;128.2;12820
50;10;0.2;0.8;0.1;2563;128.15;12815
50;50;0.8;0.8;0.7;2563;128.15;12815
50;100;0.2;0;0.1;2562;128.1;12810
10;10;0.2;0.2;0;2561;128.05;12805
10;50;0.8;0.8;0;2561;128.05;12805
50;10;0.2;0;0.1;2561;128.05;12805
50;10;0.5;0.8;0;2561;128.05;12805
50;10;0.5;0.8;0.1;2561;128.05;12805
50;50;0.2;0;0.1;2561;128.05;12805
50;10;0.8;0.8;0.1;2560;128;12800
10;10;0.5;0.2;0;2559;127.95;12795
50;200;0.2;0;0;2559;127.95;12795
10;50;0.2;0.8;0.1;2555;127.75;12775
50;10;0.5;0;0.7;2554;127.7;12770
10;10;0.8;0.2;0;2552;127.6;12760
50;50;0.5;0.8;0.7;2552;127.6;12760
100;10;0.5;0.8;0.7;2552;127.6;12760
50;10;0.2;0.8;0;2551;127.55;12755
50;200;0.2;0;0.7;2550;127.5;12750
50;10;0.2;0;0;2548;127.4;12740
10;10;0.8;0.2;0.1;2547;127.35;12735
100;10;0.8;0.8;0.7;2547;127.35;12735
100;10;0.2;0.8;0.7;2544;127.2;12720
50;100;0.2;0;0.7;2542;127.1;12710
50;50;0.2;0.8;0.7;2536;126.8;12680
50;50;0.2;0;0.7;2527;126.35;12635
50;200;0.2;0;0.1;2527;126.35;12635
